"","lon","lat","sst_1"
"1",-10,48,13.267617225647
"2",-9,48,13.2809267044067
"3",-8,48,13.3523511886597
"4",-7,48,13.4243211746216
"5",-6,48,13.4645338058472
"6",-5,48,13.4788589477539
"7",-4,48,13.5159997940063
"8",-3,48,13.601357460022
"9",-2,48,13.7005615234375
"10",-1,48,-32768
"11",0,48,-32768
"12",-10,49,12.8451499938965
"13",-9,49,12.8711795806885
"14",-8,49,12.940954208374
"15",-7,49,13.0149221420288
"16",-6,49,13.0664129257202
"17",-5,49,13.1224794387817
"18",-4,49,13.2244863510132
"19",-3,49,13.3647108078003
"20",-2,49,13.4424095153809
"21",-1,49,13.4386081695557
"22",0,49,-32768
"23",-10,50,12.45729637146
"24",-9,50,12.5010986328125
"25",-8,50,12.5886898040771
"26",-7,50,12.7196207046509
"27",-6,50,12.8561925888062
"28",-5,50,12.9594612121582
"29",-4,50,13.0530166625977
"30",-3,50,13.1402454376221
"31",-2,50,13.2438478469849
"32",-1,50,13.1972179412842
"33",0,50,11.2387866973877
"34",-10,51,12.0266828536987
"35",-9,51,12.121678352356
"36",-8,51,12.2341642379761
"37",-7,51,12.4002170562744
"38",-6,51,12.5794925689697
"39",-5,51,12.7037553787231
"40",-4,51,12.799054145813
"41",-3,51,12.8556623458862
"42",-2,51,13.0003547668457
"43",-1,51,12.9418849945068
"44",0,51,11.1884279251099
"45",-10,52,11.6161785125732
"46",-9,52,11.8431816101074
"47",-8,52,11.9929494857788
"48",-7,52,12.1102056503296
"49",-6,52,12.1841526031494
"50",-5,52,12.2781858444214
"51",-4,52,12.4746761322021
"52",-3,52,12.6586484909058
"53",-2,52,-32768
"54",-1,52,-32768
"55",0,52,-32768
"56",-10,53,11.2349367141724
"57",-9,53,11.3738660812378
"58",-8,53,-32768
"59",-7,53,-32768
"60",-6,53,11.7162637710571
"61",-5,53,11.6883163452148
"62",-4,53,11.9593467712402
"63",-3,53,12.268123626709
"64",-2,53,-32768
"65",-1,53,-32768
"66",0,53,-32768
"67",-10,54,10.9994144439697
"68",-9,54,11.0960140228271
"69",-8,54,11.1728010177612
"70",-7,54,-32768
"71",-6,54,11.4226503372192
"72",-5,54,11.5595417022705
"73",-4,54,11.5812892913818
"74",-3,54,11.321873664856
"75",-2,54,-32768
"76",-1,54,10.8437261581421
"77",0,54,10.5948581695557
"78",-10,55,10.8528261184692
"79",-9,55,10.9601306915283
"80",-8,55,11.0151062011719
"81",-7,55,11.0769481658936
"82",-6,55,11.1381196975708
"83",-5,55,11.2537879943848
"84",-4,55,11.1115474700928
"85",-3,55,10.7315721511841
"86",-2,55,10.5346984863281
"87",-1,55,10.5553073883057
"88",0,55,10.5127515792847
"89",-10,56,10.7060718536377
"90",-9,56,10.8383197784424
"91",-8,56,10.8995199203491
"92",-7,56,10.9008312225342
"93",-6,56,10.8501386642456
"94",-5,56,10.9029979705811
"95",-4,56,10.6396589279175
"96",-3,56,10.3597745895386
"97",-2,56,10.3078680038452
"98",-1,56,10.4391374588013
"99",0,56,10.3096075057983
"100",-10,57,10.5398578643799
"101",-9,57,10.676778793335
"102",-8,57,10.734169960022
"103",-7,57,10.7154512405396
"104",-6,57,10.6460771560669
"105",-5,57,10.7537565231323
"106",-4,57,-32768
"107",-3,57,10.2215194702148
"108",-2,57,10.1762094497681
"109",-1,57,10.1941118240356
"110",0,57,10.1098413467407
"111",-10,58,10.256121635437
"112",-9,58,10.4704179763794
"113",-8,58,10.557541847229
"114",-7,58,10.4804859161377
"115",-6,58,10.2620162963867
"116",-5,58,10.1083469390869
"117",-4,58,9.97664165496826
"118",-3,58,10.1147127151489
"119",-2,58,10.1731691360474
"120",-1,58,10.0869598388672
"121",0,58,9.97206115722656
"122",-10,59,9.92135906219482
"123",-9,59,10.0672378540039
"124",-8,59,10.1131839752197
"125",-7,59,10.0238275527954
"126",-6,59,9.82870388031006
"127",-5,59,9.72811031341553
"128",-4,59,9.79427623748779
"129",-3,59,9.89866828918457
"130",-2,59,9.9503698348999
"131",-1,59,9.91787147521973
"132",0,59,9.84132480621338
"133",-10,60,9.5007905960083
"134",-9,60,9.58644008636475
"135",-8,60,9.59080791473389
"136",-7,60,9.50423812866211
"137",-6,60,9.35558223724365
"138",-5,60,9.28840923309326
"139",-4,60,9.38626289367676
"140",-3,60,9.49896335601807
"141",-2,60,9.59300994873047
"142",-1,60,9.63506603240967
"143",0,60,9.6274881362915
